text,rating,clean_text,sentiment
"Shopee tidak jelas,, masa pesanan saya dikembalikan ke penjual dan akun saya dapat peringatan karena""pembeli tidak berada di alamat"" sementara saya belum dapat informasi atau belum di hubungi jika pesanan saya sudah sampai di alamat",3,shopee tidak jelas masa pesanan saya dikembalikan ke penjual dan akun saya dapat peringatan karenapembeli tidak berada di alamat sementara saya belum dapat informasi atau belum di hubungi jika pesanan saya sudah sampai di alamat,Netral
"Kecewa sekarang sistem cod ngga kaya dulu,lama banget pengirimannya paketsaya di spx tegal dc udah berapa hari ngga jalan-jalan.kecawa.",1,kecewa sekarang sistem cod ngga kaya dululama banget pengirimannya paketsaya di spx tegal dc udah berapa hari ngga jalanjalankecawa,Negatif
aplikasi Shopee ku ga muncul gambar kenapa ya?,3,aplikasi shopee ku ga muncul gambar kenapa ya,Netral
KOCAKK PAKET UDAH SAMPE KOTA PEMALANG MALAH BALIK LGI KE TEGAL STRES NI APLIKASI,1,kocakk paket udah sampe kota pemalang malah balik lgi ke tegal stres ni aplikasi,Negatif
Baguss,5,baguss,Positif
Iklan live video GK bisa diskip,1,iklan live video gk bisa diskip,Negatif
Bagus,5,bagus,Positif
Shopee tambah sukses,5,shopee tambah sukses,Positif
"Saya jualan di shopee, barang sering di retur /batal kirim, sudah ngabisin banyak ongkos malah di retur(batal kirim) tolong dong shopeee jangan gtuuuuu,sumpah kyak nyesal aj jualan di shopeee huuu",1,saya jualan di shopee barang sering di retur batal kirim sudah ngabisin banyak ongkos malah di returbatal kirim tolong dong shopeee jangan gtuuuuusumpah kyak nyesal aj jualan di shopeee huuu,Negatif
bagus,5,bagus,Positif
di mohon maaf untuk pengiriman tolong di percepat lagi pengiriman barang nya,5,di mohon maaf untuk pengiriman tolong di percepat lagi pengiriman barang nya,Positif
Ok,3,ok,Netral
"Aplikasih nya sangat bagus dan rekomendet banget, dan membantu belanja lebih murah dan cepat 💓",5,aplikasih nya sangat bagus dan rekomendet banget dan membantu belanja lebih murah dan cepat,Positif
bguss,5,bguss,Positif
baikkk,5,baikkk,Positif
Aplikasi belanja paling cocok banget buat aku sih ini,5,aplikasi belanja paling cocok banget buat aku sih ini,Positif
Shopee sangat memudahkan kita untuk untuk mendapatkan apa yang kita perlukan semoga kedepannya shopee semakin jaya Kesimpulannya sangat puaslah menggunakan aplikasi shopee,5,shopee sangat memudahkan kita untuk untuk mendapatkan apa yang kita perlukan semoga kedepannya shopee semakin jaya kesimpulannya sangat puaslah menggunakan aplikasi shopee,Positif
kebanyakan aturan,5,kebanyakan aturan,Positif
aku suka shopee,5,aku suka shopee,Positif
bagus,5,bagus,Positif
Sangat baik,5,sangat baik,Positif
bagus,5,bagus,Positif
Errrorrrr melulu,2,errrorrrr melulu,Negatif
aps gatel bukka kluar langsung video update gatel,1,aps gatel bukka kluar langsung video update gatel,Negatif
Terimakasih shopee,5,terimakasih shopee,Positif
Mantabbbbbbbb.......,5,mantabbbbbbbb,Positif
"SPX DC DEPOK LELET BENER 👎🏻 HARUSNYA KIRIM KE CIMANGGIS MALAH DI KIRIM KE JAKARTA LAGI 🙈 KACAU . . . TOLONG CANTUMKAN NOMOR WA/TELEFON KURIR , AGAR BISA BUAT JANJI TERIMA PAKETNYA !!! SEPERTI LZD ADA NOMOR WA/TELEFON KURIRNYA !!!",1,spx dc depok lelet bener harusnya kirim ke cimanggis malah di kirim ke jakarta lagi kacau tolong cantumkan nomor watelefon kurir agar bisa buat janji terima paketnya seperti lzd ada nomor watelefon kurirnya,Negatif
Okelah,5,okelah,Positif
Bisa ga sih gausah force orang untuk buka shopee lewat iklan?,1,bisa ga sih gausah force orang untuk buka shopee lewat iklan,Negatif
tolong min untuk pengiriman nya kok lambat banget gak gerak gerak,5,tolong min untuk pengiriman nya kok lambat banget gak gerak gerak,Positif
dengan ada nya shopee memudahkan saya untung berbelanja tanpa harus keluar,5,dengan ada nya shopee memudahkan saya untung berbelanja tanpa harus keluar,Positif
Bisa bisanya pesanan entah dimnanya jwban yang saya minta ttp sama mohon ditunggu gtu trus !!,2,bisa bisanya pesanan entah dimnanya jwban yang saya minta ttp sama mohon ditunggu gtu trus,Negatif
Bagus. Cuma buka aplikasi langsung ke feeds/reel. Padahal mau co,1,bagus cuma buka aplikasi langsung ke feedsreel padahal mau co,Negatif
sangar bagus,5,sangar bagus,Positif
Like,5,like,Positif
Sangat setujuh dan sangat membantu,5,sangat setujuh dan sangat membantu,Positif
Sangat membantu dalam segala kebutuhan....lanjutkan.. lebih teliti lagi dengan toko yg tidak memberikan pelayanan yg baik ..,5,sangat membantu dalam segala kebutuhanlanjutkan lebih teliti lagi dengan toko yg tidak memberikan pelayanan yg baik,Positif
keren,5,keren,Positif
Shopi tolong perbaikin bug ini saya kan main shopi tanam saya tanam hp oppo a3x pas saya panen saya malah dapet 800 koin bukannya hp trus saya coba nanem hp oppo a38 pas panen hasilnya sama ga ada pilihan buat dapet hp nya malah dpt 800 koin lagi gimananih tolong perbaikin bug nya 🙏🙏🙏,1,shopi tolong perbaikin bug ini saya kan main shopi tanam saya tanam hp oppo ax pas saya panen saya malah dapet koin bukannya hp trus saya coba nanem hp oppo a pas panen hasilnya sama ga ada pilihan buat dapet hp nya malah dpt koin lagi gimananih tolong perbaikin bug nya,Negatif
Pesanan sesuai ekpetasi..meski pun agak trlambat pengiriman nya😄,5,pesanan sesuai ekpetasimeski pun agak trlambat pengiriman nya,Positif
Ok,5,ok,Positif
Oke dan bagus,5,oke dan bagus,Positif
"Sering berbelanja di Shopee, memuaskan,, tapi tetap harus jadi pembeli yang cerdas. Sebelum membeli baca dulu deskripsi, bila perlu hubungi penjual nya terlebih dahulu jika yang kita beli bernilai tinggi seperti perhiasan dan barang mewah lain nya. Pokoknya Shopee terbaik 🫰🫰👍👍",5,sering berbelanja di shopee memuaskan tapi tetap harus jadi pembeli yang cerdas sebelum membeli baca dulu deskripsi bila perlu hubungi penjual nya terlebih dahulu jika yang kita beli bernilai tinggi seperti perhiasan dan barang mewah lain nya pokoknya shopee terbaik,Positif
Terima kasih........................,5,terima kasih,Positif
Adik sesuai pesanan dan lancar paket nyampe rumah mata ngantuk melek hati sakit jadi sembuh,5,adik sesuai pesanan dan lancar paket nyampe rumah mata ngantuk melek hati sakit jadi sembuh,Positif
sangat cocok,5,sangat cocok,Positif
"Saya kasih bintang 3 , karena sya blum di ACC shope pinjam ya padahal saya sering belanja",3,saya kasih bintang karena sya blum di acc shope pinjam ya padahal saya sering belanja,Netral
bagus,5,bagus,Positif
Asyik gggg go gi,5,asyik gggg go gi,Positif
"apaan si shopee php bgt, awalnya murah pas mau co malah ke harga normal lagi anjp",1,apaan si shopee php bgt awalnya murah pas mau co malah ke harga normal lagi anjp,Negatif
mantap sangat membantu dan bermanfaat,5,mantap sangat membantu dan bermanfaat,Positif
"Sudah lumayan bagus,dan lebih di tingkatkan lagi mutu pelayanannya",5,sudah lumayan bagusdan lebih di tingkatkan lagi mutu pelayanannya,Positif
Ganggu iklan nya,1,ganggu iklan nya,Negatif
Kren,5,kren,Positif
Setidaknya kalau sortir pesanan jangan sampai berhari hari Bahkan sampai 1 minggu pesanan di sortir Chat cs shopee jawabannya itu² saja Tidak ada jawaban lain,1,setidaknya kalau sortir pesanan jangan sampai berhari hari bahkan sampai minggu pesanan di sortir chat cs shopee jawabannya itu² saja tidak ada jawaban lain,Negatif
sangat baik,4,sangat baik,Positif
Ok👍👍👍👍,5,ok,Positif
Biar dpt pinjaman,5,biar dpt pinjaman,Positif
ok,5,ok,Positif
Guud,5,guud,Positif
keren,5,keren,Positif
👍👍👍,5,,Positif
mantap,5,mantap,Positif
Bagus,5,bagus,Positif
Menyesuaikan kemampuan untuk keperluan/ Kebutuhan,5,menyesuaikan kemampuan untuk keperluan kebutuhan,Positif
"Ngapain sih harus slalu update username?,.itu kan nama kita yg tetap ya gak mau kita ubah lah,nanti kalo di ubah usernamenya melah minta nomer hp baru lagi,lah jadi ribet 😭",4,ngapain sih harus slalu update usernameitu kan nama kita yg tetap ya gak mau kita ubah lahnanti kalo di ubah usernamenya melah minta nomer hp baru lagilah jadi ribet,Positif
Kadang masih suka keluar sendiri applikasinya.,5,kadang masih suka keluar sendiri applikasinya,Positif
Bermanfaat,5,bermanfaat,Positif
top,5,top,Positif
Good,5,good,Positif
"Masak paket tinggal pengantaran ke rumah,balik lagi ke asal..spx tidak bermutu",1,masak paket tinggal pengantaran ke rumahbalik lagi ke asalspx tidak bermutu,Negatif
bagus shope bro tidak perna mengecewakan buat gua sndiri,5,bagus shope bro tidak perna mengecewakan buat gua sndiri,Positif
Oke,5,oke,Positif
Jelek,1,jelek,Negatif
Shopee menjawab semua apa yang menjadi kebutuhan kita,5,shopee menjawab semua apa yang menjadi kebutuhan kita,Positif
Sangat membantu,5,sangat membantu,Positif
Barang aman cuma sayang ngelek terua,5,barang aman cuma sayang ngelek terua,Positif
Saya suka belanja di Shopee mementingkan keluhan pembeli,5,saya suka belanja di shopee mementingkan keluhan pembeli,Positif
shopee bagus,5,shopee bagus,Positif
Hebattt,5,hebattt,Positif
"balikin fitur blokir toko min 🙏 konsisten adain promo & gratis ongkir, penjual yg tdk aktif lama bisa di hapus/update, game2 bnykin tuker koin bkn hny vchr, u/ history chatt&notif tdk bisa hapus lebih dr 1?? u/ video jika produk habis/kosong sebaiknya ada ket saja jgn jd hilang keranjangnya agar fitur (Kamu mgkn jg suka) bermanfaat. u/ pengajuan sample gratis naikan kuota🧡 semoga bisa mnjd ladang sukses affiliate trtma bukan Artis! 🙏👍",5,balikin fitur blokir toko min konsisten adain promo gratis ongkir penjual yg tdk aktif lama bisa di hapusupdate game bnykin tuker koin bkn hny vchr u history chattnotif tdk bisa hapus lebih dr u video jika produk habiskosong sebaiknya ada ket saja jgn jd hilang keranjangnya agar fitur kamu mgkn jg suka bermanfaat u pengajuan sample gratis naikan kuota semoga bisa mnjd ladang sukses affiliate trtma bukan artis,Positif
Selalu memberikan harga terbaik murah pada saat lagi tanggal kembar,5,selalu memberikan harga terbaik murah pada saat lagi tanggal kembar,Positif
Sangat puas,5,sangat puas,Positif
Baik coba lagi,4,baik coba lagi,Positif
cepat dan terpercaya,5,cepat dan terpercaya,Positif
belanja makin mudah dan nyaman,5,belanja makin mudah dan nyaman,Positif
sangat baik,5,sangat baik,Positif
KNPA saya ngk bisa claim koin selesai nonton shopee video,5,knpa saya ngk bisa claim koin selesai nonton shopee video,Positif
Membantu,5,membantu,Positif
shopee membantu banget untuk orang berbelanja online,4,shopee membantu banget untuk orang berbelanja online,Positif
sohpie tempat belanja paling tepat,5,sohpie tempat belanja paling tepat,Positif
Saya anak ff,1,saya anak ff,Negatif
Cukup membantu,4,cukup membantu,Positif
"pelayanan nya gda bagusnya sma kli udh lama pengirman nya barang udh di tangan kurir pun g di anter malah di kembalikan ke pihak toko tolong lah perbaiki lagi pelayanan kalian.. kurir nya gda sopan nya ngnter paket ngomng nya kasar, emng la buat shopee tolong klo emng gratis ongkir buat pesanan kami jdi lambat pengiriman nya bagus gosah ada sklian gratis ongkir",1,pelayanan nya gda bagusnya sma kli udh lama pengirman nya barang udh di tangan kurir pun g di anter malah di kembalikan ke pihak toko tolong lah perbaiki lagi pelayanan kalian kurir nya gda sopan nya ngnter paket ngomng nya kasar emng la buat shopee tolong klo emng gratis ongkir buat pesanan kami jdi lambat pengiriman nya bagus gosah ada sklian gratis ongkir,Negatif
Puas pokonya belanja di shopee,5,puas pokonya belanja di shopee,Positif
mempermudah belanjaa,5,mempermudah belanjaa,Positif
"aplikasi shopee udah jadi sahabat belanja online ku, dan menurut ku apk ini selalu aman dan terpercaya gak neko-neko deh",5,aplikasi shopee udah jadi sahabat belanja online ku dan menurut ku apk ini selalu aman dan terpercaya gak nekoneko deh,Positif
ok,5,ok,Positif
Mantap man 👍,5,mantap man,Positif
koin. isa di tukar lewat dana,1,koin isa di tukar lewat dana,Negatif
"Hapus aja jasa pengiriman spx nya, jasa kirim belum siap ngapain dipake, maksa lagi kalo cod cuma bisa make spx",1,hapus aja jasa pengiriman spx nya jasa kirim belum siap ngapain dipake maksa lagi kalo cod cuma bisa make spx,Negatif
Baik,5,baik,Positif
Selalu mudah digunakan,5,selalu mudah digunakan,Positif
Shopiii terbaik,5,shopiii terbaik,Positif
"pengirim sekarang jauh lebih lama,daripada waktu awal tepat 3-4 hari sampai.",3,pengirim sekarang jauh lebih lamadaripada waktu awal tepat hari sampai,Netral
"Bagus ,tetapi sering ditunda bagian pengantaran😒",5,bagus tetapi sering ditunda bagian pengantaran,Positif
Mempermuda belanja,4,mempermuda belanja,Positif
"Barang sudah diterima, prosesnya 2 hari. Terima kasih. 🙏",5,barang sudah diterima prosesnya hari terima kasih,Positif
Sangat bermanfaat Banyak bonusnya,5,sangat bermanfaat banyak bonusnya,Positif
"males banget belanja online kek gini, barang nya jadi mahal gara - gara ongkir masa beli baju harga 50k jadi 100k mending beli toko terdekat aja kalo gitu, tolong pihak mikir dikit lah, tiap barang yang aku beli jadi mahal gara - gara ongkir, tolong banget cari cara lain, kalo kek gitu mending beli toko terdekat aja dari pada di sini",1,males banget belanja online kek gini barang nya jadi mahal gara gara ongkir masa beli baju harga k jadi k mending beli toko terdekat aja kalo gitu tolong pihak mikir dikit lah tiap barang yang aku beli jadi mahal gara gara ongkir tolong banget cari cara lain kalo kek gitu mending beli toko terdekat aja dari pada di sini,Negatif
"Kadang kadang adajuga saya dapat barang yg tidak sesuai harga sama barang nya,pas saya censel barang,acun shoppe udah udah gk bisa COD..saya mohon pada tencent shoppe tlg jgn berpihak sebelah. Kasian acun shoppe yg udah belanja 100san jutaan belanja di ban..",5,kadang kadang adajuga saya dapat barang yg tidak sesuai harga sama barang nyapas saya censel barangacun shoppe udah udah gk bisa codsaya mohon pada tencent shoppe tlg jgn berpihak sebelah kasian acun shoppe yg udah belanja san jutaan belanja di ban,Positif
Aplikasi yg mudah di gunakan & sangat membantu untuk mencari barang yg di butuhkan,5,aplikasi yg mudah di gunakan sangat membantu untuk mencari barang yg di butuhkan,Positif
Ok,4,ok,Positif
"Bagus sih sejauh ini, dari pada yg sebelah wkwkw",5,bagus sih sejauh ini dari pada yg sebelah wkwkw,Positif
semoga sukses selalu,5,semoga sukses selalu,Positif
Vocer geratis ongkir nya susah amatt boss ongkir nya mahal muluu gedean ongkir sama barang,1,vocer geratis ongkir nya susah amatt boss ongkir nya mahal muluu gedean ongkir sama barang,Negatif
"Sangat mengecewakan, padahal saya belanja secara normal, tapi pas mau chekout pakai voucher diskon tidak bisa. Katanya saya melanggar kebijakan shopee",5,sangat mengecewakan padahal saya belanja secara normal tapi pas mau chekout pakai voucher diskon tidak bisa katanya saya melanggar kebijakan shopee,Positif
Ok,5,ok,Positif
Kerenn lahh,5,kerenn lahh,Positif
sangat membantu,5,sangat membantu,Positif
Sangat membantu,5,sangat membantu,Positif
keren,5,keren,Positif
Amanah,5,amanah,Positif
dengn adanya aplikasi shopee dapat ber belanja dg ringan dan murah,5,dengn adanya aplikasi shopee dapat ber belanja dg ringan dan murah,Positif
bagus,5,bagus,Positif
"kalau bikin iklan jangan menjebak tanda silang di pojok kanan atas, aku ketipu sampai 5 kali. udah gitu ditambah lagi dengan tanda baterai lemah, maksudnya apa... kalau pengen laku aplikasinya murahin barang-barangnya. iklan di kebut tapi barang-barangnya mahal.. pecat aja yang bikin desain iklan. iklan kok penuh dengan jebakan.",1,kalau bikin iklan jangan menjebak tanda silang di pojok kanan atas aku ketipu sampai kali udah gitu ditambah lagi dengan tanda baterai lemah maksudnya apa kalau pengen laku aplikasinya murahin barangbarangnya iklan di kebut tapi barangbarangnya mahal pecat aja yang bikin desain iklan iklan kok penuh dengan jebakan,Negatif
Mntap mudah,5,mntap mudah,Positif
Maaf nih Shopee kenapa pengiriman harus di tunda2 dr kurirnya. Masa bisa 2 hari di tempat sortir ini dilihat dr LACAK. Tolong semangat lagi dr kurirnya,3,maaf nih shopee kenapa pengiriman harus di tunda dr kurirnya masa bisa hari di tempat sortir ini dilihat dr lacak tolong semangat lagi dr kurirnya,Netral
𝐌𝐚𝐧𝐭𝐚𝐩 𝐥𝐚𝐡 𝐩𝐨𝐤𝐨𝐤𝐧𝐲𝐚👍🏼👍🏼👍🏼,5,,Positif
"Tolong untuk pihak shope saya baru saja instal apk shope tapi pas saya buka saya cake out barang malah gabisa, tertulis disitu ""maaf Anda telah menggunakan promo ini"" padahal saya baru pertama kali instal apk shope dan pertama kali juga cake out tapi malah gabisa",1,tolong untuk pihak shope saya baru saja instal apk shope tapi pas saya buka saya cake out barang malah gabisa tertulis disitu maaf anda telah menggunakan promo ini padahal saya baru pertama kali instal apk shope dan pertama kali juga cake out tapi malah gabisa,Negatif
Murah,5,murah,Positif
bermanfaat,5,bermanfaat,Positif
Mantap,5,mantap,Positif
Ok,5,ok,Positif
Pengiriman yg sangat lambat apalagi di bulan ramadhan kecewa saya menggunakan aplikasi shoope karna pengiriman nya yg sangattt lambattt 👎,1,pengiriman yg sangat lambat apalagi di bulan ramadhan kecewa saya menggunakan aplikasi shoope karna pengiriman nya yg sangattt lambattt,Negatif
"ok jg, jelek dikit, hapus permanen",5,ok jg jelek dikit hapus permanen,Positif
Ok,5,ok,Positif
Sangat membantu saat ingin belanja,5,sangat membantu saat ingin belanja,Positif
Shopee mantap deh pokoknya👍👍,5,shopee mantap deh pokoknya,Positif
cakep amanah gk bikin kecewa,5,cakep amanah gk bikin kecewa,Positif
"Pelayanan payah, pengiriman lambat,ada toko yang slow respon,cs kurang paham pertanyaan",1,pelayanan payah pengiriman lambatada toko yang slow responcs kurang paham pertanyaan,Negatif
Shopee pancen mantap,5,shopee pancen mantap,Positif
Keren... terimakasih,5,keren terimakasih,Positif
Beli brg di shopee lebih gampang carinya dan lebih murah harganya.,5,beli brg di shopee lebih gampang carinya dan lebih murah harganya,Positif
Bikin kesel.. server mandek. Driver sf nuduh ngerjain sialan!!!,2,bikin kesel server mandek driver sf nuduh ngerjain sialan,Negatif
"Tolong di tingkatkan lagi. Kurir yang membatalkan dan tidak mengantarkan pesanan, COD saya yang sudah tidak bisa digunakan lagi,,",1,tolong di tingkatkan lagi kurir yang membatalkan dan tidak mengantarkan pesanan cod saya yang sudah tidak bisa digunakan lagi,Negatif
TIDAK ADA FITUR BLOKIR,1,tidak ada fitur blokir,Negatif
Lengkap murah,5,lengkap murah,Positif
banyak bug gambar produk tidak muncul dan pencarian kurang akurat,3,banyak bug gambar produk tidak muncul dan pencarian kurang akurat,Netral
Bagus,5,bagus,Positif
mufah digunakan semoga makin baik dengan SDM yg lbu baik,5,mufah digunakan semoga makin baik dengan sdm yg lbu baik,Positif
Kurang memuaskan pesan barag y produk gagal,2,kurang memuaskan pesan barag y produk gagal,Negatif
Di Shopee sangat murah dan bagus pelayanan,5,di shopee sangat murah dan bagus pelayanan,Positif
paling suka shopee,4,paling suka shopee,Positif
"yang awalnya favorit bgt belanja disini jadi malah sebel klo belanja disini,, apa apa cekout dibatalkan sekalipun lolos malah tau tau akun saya kena m04 katanya melanggar syarat dan ketentuan,, heloooo saya sudah berlangganan shopee plus seharga 14.900 tapi kalau vouchernya tidak bisa dipakai malah rugi buat saya,, ngapain shopee ngadain itu shopeeplus klo ternyata gabisa cekout pake voucher? apa sengaja cari keuntungan semata dari langganan tersebut!! tapi gabisa dipake sekalipun gitukah??",1,yang awalnya favorit bgt belanja disini jadi malah sebel klo belanja disini apa apa cekout dibatalkan sekalipun lolos malah tau tau akun saya kena m katanya melanggar syarat dan ketentuan heloooo saya sudah berlangganan shopee plus seharga tapi kalau vouchernya tidak bisa dipakai malah rugi buat saya ngapain shopee ngadain itu shopeeplus klo ternyata gabisa cekout pake voucher apa sengaja cari keuntungan semata dari langganan tersebut tapi gabisa dipake sekalipun gitukah,Negatif
"Bagus, cepat mudah",5,bagus cepat mudah,Positif
Ga bisa menambahkan akun rekening bank,1,ga bisa menambahkan akun rekening bank,Negatif
Bagus sekali,5,bagus sekali,Positif
Shopee bagus,5,shopee bagus,Positif
"Aplikasi yang sangat membantu terutama bagi yang mager , keren 👍👍👍",5,aplikasi yang sangat membantu terutama bagi yang mager keren,Positif
Mantap,5,mantap,Positif
Pengiriman spx nya sangat lambat padahal saya buru2 dengan paket nya itu kurang memuaskan perkara pengiriman sangat lambat.. dan bukankah dulu di bertahu nomor wa dan nama si kurir nya yak sekarang jadi susah saya ada perlu harus nunggu paket dtng tapi di tunggu2 malah gak datang.. giliran saya pergi malah datang repot jdi nya,2,pengiriman spx nya sangat lambat padahal saya buru dengan paket nya itu kurang memuaskan perkara pengiriman sangat lambat dan bukankah dulu di bertahu nomor wa dan nama si kurir nya yak sekarang jadi susah saya ada perlu harus nunggu paket dtng tapi di tunggu malah gak datang giliran saya pergi malah datang repot jdi nya,Negatif
"Shopee tombol x penghapus iklan nya gedein lagi biar bisa di pencet hadeh capek emosi sendiri tuh, sama gw udh dapet IP 1k giliran mau dibayar pake virtual account malah GK bisa sengaja apa gmn nih?",1,shopee tombol x penghapus iklan nya gedein lagi biar bisa di pencet hadeh capek emosi sendiri tuh sama gw udh dapet ip k giliran mau dibayar pake virtual account malah gk bisa sengaja apa gmn nih,Negatif
"semoga tetap lebih baik, kurangin penipuan diskon yang tidak bernilai.",5,semoga tetap lebih baik kurangin penipuan diskon yang tidak bernilai,Positif
Good,5,good,Positif
Parah shoppe...,1,parah shoppe,Negatif
Sangat memuaskan,5,sangat memuaskan,Positif
Alhamdulillah Shopee selalu ada saat ada uang 😅 Belanja lebih mudah di mana pun dan kapan pun Kalo cari barang....! Shopee ajaaaaaaaaa,5,alhamdulillah shopee selalu ada saat ada uang belanja lebih mudah di mana pun dan kapan pun kalo cari barang shopee ajaaaaaaaaa,Positif
Banyak ongkirnya,5,banyak ongkirnya,Positif
Mahal banget biaya layanan nya,2,mahal banget biaya layanan nya,Negatif
Mantaap soppe grecep,5,mantaap soppe grecep,Positif
"Apk nya bagus tapi sayainga untuk tidak langsung membawa saya ke live atau ke vidio,sekian masukan saya,terimakasih!",5,apk nya bagus tapi sayainga untuk tidak langsung membawa saya ke live atau ke vidiosekian masukan sayaterimakasih,Positif
Hati hati memakai akun shopepaylater nya krn mau melakukan pelunasab dibikin ribet dan CS nya tidak profesional sama sekali,1,hati hati memakai akun shopepaylater nya krn mau melakukan pelunasab dibikin ribet dan cs nya tidak profesional sama sekali,Negatif
Kasar,1,kasar,Negatif
"bagus apk nya tapi iklan nya koar""",2,bagus apk nya tapi iklan nya koar,Negatif
Hemat dan cepat,5,hemat dan cepat,Positif
Pesanan sampe 10hari gak datang!! banyak alasan!! bilang aja pesanan saya hilang!! kembalikan uang saya!!,1,pesanan sampe hari gak datang banyak alasan bilang aja pesanan saya hilang kembalikan uang saya,Negatif
mudah dan cepat sampe,5,mudah dan cepat sampe,Positif
"Dengan event ramadhan sekarang rasanya agak mendiskriminasi orang yg berada diluar pulau, terkhususnya yg bukan berada di pulau Jawa. Sebab rata-rata gratis ongkir sekarang hanya menanggung potongan 15K min belanja 10K, dimana ini sangat menguntungkan orng2 sesama pulau Jawa, seharusnya gratis ongkir tetap spt biasa, yaitu 20K",1,dengan event ramadhan sekarang rasanya agak mendiskriminasi orang yg berada diluar pulau terkhususnya yg bukan berada di pulau jawa sebab ratarata gratis ongkir sekarang hanya menanggung potongan k min belanja k dimana ini sangat menguntungkan orng sesama pulau jawa seharusnya gratis ongkir tetap spt biasa yaitu k,Negatif
gratis onlirnya sangat membantu kak,5,gratis onlirnya sangat membantu kak,Positif
Setakat ini berfungsi dgn baik,5,setakat ini berfungsi dgn baik,Positif
Mantap,4,mantap,Positif
sangat terbantu,5,sangat terbantu,Positif
Aplikasi mudah digunakan 👍,5,aplikasi mudah digunakan,Positif
"Sangat memuaskan belanja di shopee, barang tidak pernah salah",5,sangat memuaskan belanja di shopee barang tidak pernah salah,Positif
kok pas mau pembayaran di akun shopee saya selalu ada start download tpi gabisa² nih gajelas,2,kok pas mau pembayaran di akun shopee saya selalu ada start download tpi gabisa² nih gajelas,Negatif
"Bagus, langganan saya disini. Gratis ongkir banyak via spx, tapi kecepatan kirim dan antar kurir kalah jauh sama expedisi lawas, apalagi mo lebaran ini. Ecpediai lain 3 - 4 hari sampai, paket saya via spx hampir 5 hari belum juga sampai.",2,bagus langganan saya disini gratis ongkir banyak via spx tapi kecepatan kirim dan antar kurir kalah jauh sama expedisi lawas apalagi mo lebaran ini ecpediai lain hari sampai paket saya via spx hampir hari belum juga sampai,Negatif
Nice,5,nice,Positif
Saya klik username tidak bisa diganti.Tolong bantu.,1,saya klik username tidak bisa digantitolong bantu,Negatif
Belanja di shopee lebih mudah,5,belanja di shopee lebih mudah,Positif
"Tidak ada fitur blokir pengguna lagi. Halo shopee. Kelamaan prosesnya kalau pakai laporin pengguna, sedangkan di aplikasi Shopee banyak akun yang kirim pesan tidak jelas!",1,tidak ada fitur blokir pengguna lagi halo shopee kelamaan prosesnya kalau pakai laporin pengguna sedangkan di aplikasi shopee banyak akun yang kirim pesan tidak jelas,Negatif
Keren,5,keren,Positif
Josss,5,josss,Positif
Suka dg toko Oren ini,5,suka dg toko oren ini,Positif
"Semua barang nya di asuransi kan , tapi di klaim proses nya lama ga ada penjelasan sama sekali , tim nya lambat dalam menangani klaim asuransi dan akhir nya klaim pun tetap di tolak , percuma mengasuransikan produk yg kita beli di asuransi kan",1,semua barang nya di asuransi kan tapi di klaim proses nya lama ga ada penjelasan sama sekali tim nya lambat dalam menangani klaim asuransi dan akhir nya klaim pun tetap di tolak percuma mengasuransikan produk yg kita beli di asuransi kan,Negatif
"Mantul shopee, hai shopee bisa ngak cicilannya spt s'pinjam, bisa pilih byr lunas tagihan yg kecil2, walau tidak berurutan bulannya spt s'pinjam.,dg maksud agar habis.",5,mantul shopee hai shopee bisa ngak cicilannya spt spinjam bisa pilih byr lunas tagihan yg kecil walau tidak berurutan bulannya spt spinjamdg maksud agar habis,Positif
bagus,3,bagus,Netral
Banyakan notif ga guna tiap hari...,1,banyakan notif ga guna tiap hari,Negatif
sangat memudahkan konsumen,5,sangat memudahkan konsumen,Positif
Buka Shopee tanam malah gk bisa² min,3,buka shopee tanam malah gk bisa² min,Netral
Jelle warna orange,1,jelle warna orange,Negatif
App nya sangat lamah kalau beli online dishopee app lainnya hanya 2hari terkadang 3hari atau 1harian dan juga banyak yang kena tipu dari produknya rusak atau tidak sesuai namanya shopee big ramadan ternyata menipu banyak orang dibulan ramadan أستراغفرلله bagaimana ni pihak shopee semua konsumen merasakan kerugian tolangla Bantu para Konsumen atau para pembeli yang telah dirugikan atau ditipu dan itu Masalahnya Terimakasih,3,app nya sangat lamah kalau beli online dishopee app lainnya hanya hari terkadang hari atau harian dan juga banyak yang kena tipu dari produknya rusak atau tidak sesuai namanya shopee big ramadan ternyata menipu banyak orang dibulan ramadan أستراغفرلله bagaimana ni pihak shopee semua konsumen merasakan kerugian tolangla bantu para konsumen atau para pembeli yang telah dirugikan atau ditipu dan itu masalahnya terimakasih,Netral
Sangat menbantu untuk belanja,5,sangat menbantu untuk belanja,Positif
Oke,5,oke,Positif
👌,5,,Positif
Gooooood,5,gooooood,Positif
Tempat belanja yang sangat bagus,5,tempat belanja yang sangat bagus,Positif
